"'ashwat","*ʿashwaʾiyat*",""
"Ibn AW","Ibn Abd al-Wahhab",""
"MErn","Middle Eastern",""
"con-nad","*Il Convito/al-Nadi*",""
"corvee","corvée",""
"italta","*italianità*",""
"mmsrr","*mutamassir*",""
"mmsrun","*mutamassirun*",""
"mmsrya","*mutamassiriyya*",""
"pen-pac","*pénétration pacifique*",""
"sa'idi","saʿidi",""
"shi'","shiʿ%-",""
